Guess,1kmaat,1kmerk,1kpr1s,1kpunt,1lbode,1lgoed,1lheid,1lings,1sbaan,1sbeen,1sbeer,1sberg,1sclub,1sel1k,1sgang,1skast,1skoud,1slaag,1smerk,1smuts,1spret,1srace,1sshow,1stang,1sthee,1sveld,1veren,1verig,1zelen,1zeren,1sboer,10-tal,1sblok,1sroom,1saz1n,1sbank,1sgrot,1smaan,1smuur,1srand,1swand,1skern,1smist,1seend,1sbond,1sbout,1sduif,1sgala,1sgeld,1sgors,1skist,1swolk
1deler,200000,201001,200001,200000,211100,210120,211100,200100,200000,201020,201022,201001,200200,202200,200000,200000,210000,200100,201001,200000,200021,201001,200000,200000,201020,211100,202021,202001,202220,202021,200022,200100,200200,200001,200000,200000,200001,200000,200002,210001,210000,201001,200000,212010,210000,200000,210000,200100,211100,200001,200000,200100
1delst,200002,201000,200010,200002,211100,211100,211100,200110,200010,201010,201010,201010,200210,202210,200010,200022,210010,200110,201010,200011,201012,201010,200010,200011,201011,211110,202000,202000,202200,202000,201010,200101,200210,200010,200010,200010,200012,200010,200010,210010,210010,201010,200022,212010,210010,200012,210010,200110,211110,200010,200022,200110
1sco's,200000,200000,200002,200000,200200,200200,200000,200002,220000,220000,220000,220000,222000,220000,220000,220001,220200,220000,220000,220002,220000,221000,220101,220000,220000,220000,200000,200000,200000,200000,220200,200000,220100,220200,220000,220000,220100,220000,220000,220000,220000,220000,220001,220000,220200,220200,220000,220000,220000,220202,220001,220200
1verde,200000,201100,200200,200000,200022,201010,201010,200000,200000,201001,201101,201100,200000,202000,200000,200000,200010,200000,201100,200000,201200,200102,200000,200000,201002,211010,222201,222200,202001,202201,201100,200000,200000,200100,200000,200000,200200,200000,200100,200110,200010,201100,200000,202011,200010,200000,200010,200000,201010,200100,200000,200000
1zelde,200000,201000,200000,200000,200122,201110,201110,200100,200000,201001,201001,201000,200200,202200,200000,200000,200010,200100,201000,200000,201000,200002,200000,200000,201002,201110,202001,202000,222201,222001,201000,200100,200200,200000,210000,200000,200000,200000,200000,200010,200010,201000,200000,202011,200010,200000,200010,200100,201110,200000,200000,200100
1ziger,200000,200011,200001,200000,200010,200120,201010,202100,200000,200020,200022,200111,200000,200010,200100,200000,200000,200100,200011,200000,200021,200011,200000,200100,200020,200010,200021,201111,220020,220021,200022,200000,200000,200001,210000,200000,200101,200000,200002,200001,200000,200011,201000,200010,200000,200000,201000,200100,200110,200101,201000,200000
1zigst,200002,200000,200010,200002,200000,200100,201000,202110,200010,200010,200010,200110,200010,200010,200110,200022,200010,200110,200010,200011,200012,200010,200010,200111,200011,200010,200000,201100,220000,220000,200010,200001,200010,200010,210010,200010,200112,200010,200010,200010,200010,200010,201022,200010,200010,200012,201010,200110,200110,200110,201022,200010
1svr1e,200000,200101,210220,200000,200002,200001,200001,210000,220000,220001,220101,220101,220000,220021,220000,220000,220000,220000,220101,220000,220201,220102,220000,220000,220002,222001,201201,201201,200001,200201,220101,200000,220000,220100,220020,220000,220200,220000,220100,220100,220000,220101,220000,220001,220000,220000,220000,220000,220001,220100,220000,220000
1kmaat,222222,222000,220000,220002,200000,200000,200000,200000,200220,200000,200000,200000,200000,210000,200200,210202,210000,200220,212000,202001,200002,200200,200000,200201,200001,200000,200000,200000,200000,200000,200000,200021,210000,201000,200100,210200,200002,202220,202000,200200,200200,210000,202002,200000,200000,200002,200000,200210,200000,200000,210002,210000
1kmerk,222000,222222,220010,220000,200100,200100,200200,200000,200000,200200,200210,200220,200000,200102,200000,210000,210000,200000,202222,202000,200110,200110,200000,200000,200100,200200,200110,200110,200100,200110,200110,200000,200002,201010,200000,200002,200010,202000,202010,200010,200000,210220,202000,200200,200000,200000,200000,200000,200200,200020,210000,200002
1kpr1s,220000,220100,222222,222000,200000,200000,200000,200002,200001,200001,200101,200101,200001,210021,200001,210001,210001,200001,210101,200002,202201,200101,200001,200001,200001,200001,200200,200200,200000,200200,200101,200000,210001,200101,200021,210001,200201,200001,200101,200101,200001,210101,200001,200001,200001,200001,200001,200001,200001,200102,210001,210001
1kpunt,220002,220000,222000,222222,200000,200000,200000,200010,200010,200010,200000,200000,200100,210000,200020,210002,210100,200000,210000,200201,202002,200000,200000,200021,200001,200000,200010,200000,200010,200010,200000,200001,210000,200000,200010,210020,200002,200010,200200,200020,200020,210010,200002,200020,200020,200102,200200,200000,200000,200000,210002,210000
1lbode,200000,200001,200000,200000,222222,220211,220011,220000,202000,202001,202001,202001,211000,210001,200000,200000,200210,210000,200001,200000,200001,200002,200100,200000,200002,210011,200001,200001,210001,200001,202201,210000,212100,200200,200000,202000,200100,200000,200000,200010,200010,200001,200000,200011,202210,202200,200010,210000,210011,200200,200000,210200
1lgoed,200000,200010,200000,200000,220211,222222,220012,221000,200000,200020,200020,201010,210000,210010,202000,200000,200202,211000,200010,200000,200020,200010,200100,201000,200020,210012,200020,201010,210020,200020,200220,210000,210100,200200,200000,200000,202100,200000,200000,200002,200002,200010,200000,200012,200202,200200,200001,212000,212012,202200,200000,210200
1lheid,200000,200200,200000,200000,220101,220102,222222,220010,200000,200200,200200,200200,210000,210100,200000,200000,200002,210000,200200,200000,200100,200100,201000,200000,201100,210202,200100,200120,210100,200100,200100,210000,210000,200000,200000,200000,200000,200000,200000,200002,200002,200200,200010,200202,200002,200000,200021,210000,210202,200000,200010,210000
1lings,200000,200000,200002,200100,220000,220010,221000,222222,200101,200101,200001,200011,210001,210001,200111,200001,200001,210011,200001,200002,200001,200001,200001,200111,200001,210001,200100,201010,210100,200100,200001,210000,210001,200001,200101,200101,200011,200101,200001,200101,200101,200101,201001,200101,200101,200001,201001,210011,210011,200012,201001,210001
1sbaan,200220,200000,210000,200001,202000,200000,200000,210001,222222,222002,222000,222000,221000,220000,220201,220200,220000,220220,220000,220000,220000,220200,220000,220201,220000,220000,200002,200000,200002,200002,222000,200020,222000,220000,220102,222201,220000,220222,220000,220201,220201,220002,220000,220001,222001,222000,220000,220210,220000,220000,220000,220000
1sbeen,200000,200200,210000,200001,202100,200020,200200,210001,222002,222222,222220,222200,221000,220100,220001,220000,220000,220000,220200,220000,220020,220100,220000,220001,220120,220200,200122,200100,200122,200122,222020,200000,222000,220000,220002,222001,220000,220002,220000,220001,220001,220202,220000,220211,222001,222000,220000,220000,220200,220000,220000,220000
1sbeer,200000,200201,210001,200000,202100,200020,200200,210000,222000,222220,222222,222201,221000,220100,220000,220000,220000,220000,220201,220000,220021,220101,220000,220000,220120,220200,200121,200101,200120,200121,222022,200000,222000,220001,220000,222000,220001,220000,220002,220001,220000,220201,220000,220210,222000,222000,220000,220000,220200,220001,220000,220000
1sberg,200000,200220,210010,200000,202100,200101,200200,210001,222000,222200,222210,222222,221000,220100,220002,220000,220000,220002,220220,220000,220110,220110,220000,220002,220100,220200,200110,200112,200100,200110,222110,200000,222000,220010,220000,222000,220011,220000,220010,220010,220000,220220,220000,220200,222000,222000,220000,220001,220201,220021,220000,220000
1sclub,200000,200000,210000,200010,200101,200100,200100,210100,220001,220001,220001,220001,222222,220200,220000,220000,220020,220100,220000,220010,220000,221000,220000,220000,220000,220100,200000,200000,200200,200000,220001,200100,220201,220000,220000,220001,220000,220000,220020,220000,220000,220000,220000,220000,220001,220021,220010,220100,220100,220000,220000,220100
1sel1k,200001,201002,210021,200001,201100,201100,201100,210100,220000,221000,221000,221000,220200,222222,220000,220001,220001,220100,221002,220000,221000,221000,220000,220000,221000,221100,202000,202000,202200,202000,221000,200100,220202,220000,220020,220002,220000,220000,220000,220000,220000,221001,220000,222000,220000,220000,220000,220100,221100,220000,220001,220102
1sgang,200200,200000,210000,200020,200000,202000,200000,211010,220210,220010,220000,220002,220000,220000,222222,220200,220000,220202,220000,220000,220000,220200,220000,220222,220000,220000,200010,200002,200010,200010,220000,200100,220000,220000,220110,220220,222000,220210,220000,220220,220220,220010,220000,220020,220020,220000,220000,222200,222000,222000,220000,220000
1skast,201202,201000,211000,201002,200000,200000,200000,210000,220200,220000,220000,220000,220000,221000,220200,222222,222000,220200,221000,220011,220002,220200,220010,220201,220001,220000,200000,200000,200000,200000,220000,200101,221000,220000,220100,221200,220002,220200,220000,220200,220200,222000,220022,220000,220000,220002,220000,220200,220000,220010,222022,221000
1skoud,201000,201000,211000,201010,200201,200202,200002,210000,220000,220000,220000,220000,220020,221000,220000,222000,222222,220000,221000,220010,220000,220000,220100,220000,220000,220002,200000,200000,200000,200000,220200,200000,221100,220200,220000,221000,220100,220000,220020,220002,220002,222000,220000,220002,220202,220220,220011,220000,220002,220200,222000,221200
1slaag,200220,200000,210000,200000,201000,201001,201000,211001,220220,220000,220000,220002,221000,221000,220202,220200,220000,222222,220000,220000,220000,220200,220000,220202,220000,221000,200000,200002,201000,200000,220000,201020,221000,220000,220100,220200,220001,220220,220000,220200,220200,220000,220000,220000,220000,220000,220000,221211,221001,220001,220000,221000
1smerk,202001,202222,210011,200001,200100,200100,200200,210000,220000,220200,220210,220220,220000,220102,220000,220001,220001,220000,222222,222000,220110,220110,220000,220000,220100,220200,200110,200110,200100,200110,220110,200000,220002,221010,220000,220002,220010,222000,222010,220010,220000,220221,222000,220200,220000,220000,220000,220000,220200,220020,220001,220002
1smuts,202010,202000,200002,200210,200000,200000,200000,200002,220000,220000,220000,220000,220100,220000,220000,220011,220100,220000,222000,222222,220010,220000,220001,220010,220010,220000,200000,200000,200000,200000,220000,200010,220000,221000,220000,220000,220010,222000,222200,220000,220000,220000,222011,220000,220000,220110,220200,220000,220000,220002,220011,220000
1spret,200002,200110,212200,202002,200010,200020,200010,210000,220000,220020,220120,220110,220000,220010,220000,220002,220000,220000,220110,220001,222222,220110,220000,220001,220021,220010,200220,200210,200020,200220,220120,200001,220000,220100,220000,220000,220202,220000,220100,220100,220000,220110,220002,220010,220000,220002,220000,220000,220010,220100,220002,220000
1srace,200200,201001,211000,200000,200002,200001,200001,210000,220200,220001,221001,221001,220010,220001,220200,220200,220000,220200,221001,220000,221001,222222,220000,220200,220002,220001,201001,201001,200001,201001,221001,200100,220000,222000,220100,220200,221000,220200,221000,222200,220200,221001,220000,220001,220000,220000,220000,220200,220001,221000,220000,220000
1sshow,200000,200000,210000,200000,200010,200010,200100,210000,220000,220000,220000,220000,220000,220000,220000,221000,220010,220000,220000,221000,220000,220000,222222,220000,220200,220000,200000,200000,200000,200000,220010,200000,220020,220020,220000,220000,220020,220000,220000,220000,220001,220000,221000,220000,220010,220010,220000,220000,220000,221010,221000,220011
1stang,201200,200000,210000,201020,200000,200001,200000,210011,220210,220010,220000,220002,220000,220000,220222,221200,220000,220202,220000,221000,221000,220200,220000,222222,222000,220000,200010,200002,200010,200010,220000,201100,220000,220000,220110,220220,221001,220210,220000,220220,220220,220010,221000,220020,220020,221000,220000,220201,220001,220001,221000,220000
1sthee,201000,200010,210000,201000,200002,200020,200110,210000,220000,220021,220021,220010,220000,220010,220000,221000,220000,220000,220010,221000,221020,220002,220200,222000,222222,220010,200021,200010,200021,200021,220020,201000,220000,220000,220000,220000,221000,220000,220000,220000,220000,220010,221000,220011,220000,221000,220000,220000,220010,220000,221000,220000
1sveld,200000,200200,210000,200000,200111,200112,200212,210010,220000,220200,220200,220200,220010,220110,220000,220000,220002,220010,220200,220000,220100,220100,220000,220000,220100,222222,201100,201100,200110,200100,220100,200010,220010,220000,220000,220000,220000,220000,220000,220002,220002,220200,220000,220202,220002,220000,220001,220020,220222,220000,220000,220020
1veren,200000,201100,200200,200001,201000,200020,201000,200001,200002,201022,201120,201100,200000,202000,200001,200000,200000,200000,201100,200000,200220,201100,200000,200001,201020,211000,222222,222200,202022,202222,200120,200000,200000,200100,200002,200001,200200,200002,200100,200101,200001,201102,200000,202011,200001,200000,200000,200000,201000,200100,200000,200000
1verig,200000,201100,200200,200000,201000,201001,201020,200011,200000,201000,201100,201102,200000,202000,200002,200000,200000,200002,201100,200000,201200,201100,200000,200002,201000,211000,222200,222222,202000,202200,201100,200000,200000,200100,200000,200000,200201,200000,200100,200100,200000,201100,200010,202000,200000,200000,200020,200001,201001,200101,200010,200000
1zelen,200000,201000,200000,200001,201100,200120,201100,200101,200002,201022,201020,201000,200200,202200,200001,200000,200000,200100,201000,200000,200020,201000,200000,200001,201020,201100,202022,202000,222222,222022,200020,200100,200200,200000,210002,200001,200000,200002,200000,200001,200001,201002,200000,202011,200001,200000,200000,200100,201100,200000,200000,200100
1zeren,200000,201100,200200,200001,201000,200020,201000,200001,200002,201022,201120,201100,200000,202000,200001,200000,200000,200000,201100,200000,200220,201100,200000,200001,201020,201000,202222,202200,222022,222222,200120,200000,200000,200100,210002,200001,200200,200002,200100,200101,200001,201102,200000,202011,200001,200000,200000,200000,201000,200100,200000,200000
1sboer,200000,200011,210001,200000,202210,200220,200010,210000,222000,222020,222022,222011,221000,220010,220000,220000,220200,220000,220011,220000,220021,220011,220100,220000,220020,220010,200021,200011,200020,200021,222222,200000,222100,220201,220000,222000,220101,220000,220002,220001,220000,220011,220000,220010,222200,222200,220000,220000,220010,220201,220000,220200
10-tal,200120,200000,200000,200100,200001,200001,200001,200001,200020,200000,200000,200000,200001,200001,200010,200110,200000,200021,200000,200100,200100,200010,200000,200110,200100,200001,200000,200000,200001,200000,200000,222222,200001,200000,200010,200010,200100,200020,200000,200010,200010,200000,200100,200000,200000,200100,200000,200011,200001,200000,200100,200001
1sblok,200001,200002,210001,200001,202110,200110,200100,210100,222000,222000,222000,222000,221200,220202,220000,220001,220011,220100,220002,220000,220000,220000,220020,220000,220000,220100,200000,200000,200200,200000,222010,200100,222222,220020,220000,222002,220020,220000,220000,220000,220000,220001,220000,220000,222010,222010,220000,220100,220100,220010,220001,220112
1sroom,200001,201001,211000,200000,200200,200200,200000,210000,220000,220000,221000,221000,220000,220000,220000,220000,220200,220000,221001,220001,221000,222000,220020,220000,220000,220000,201000,201000,200000,201000,221200,200000,220020,222222,220000,220000,221020,220001,221001,222000,220000,221000,220001,220000,220200,220200,220000,220000,220000,221200,220000,220200
1saz1n,201000,200000,210020,200001,200000,200000,200000,210001,221002,220002,220000,220000,220000,220020,221001,221000,220000,221000,220000,220000,220000,221000,220000,221001,220000,220000,200002,200000,200102,200102,220000,201000,220000,220000,222222,221001,220000,221002,220000,221001,221001,220002,220000,220001,220001,220000,220000,221000,220000,220000,220000,220000
1sbank,200201,200002,210001,200021,202000,200000,200000,210010,222210,222010,222000,222000,221000,220002,220220,220201,220001,220200,220002,220000,220000,220200,220000,220220,220000,220000,200010,200000,200010,200010,222000,200100,222002,220000,220110,222222,220000,220210,220000,220220,220220,220011,220000,220020,222020,222000,220000,220200,220000,220000,220001,220002
1sgrot,200002,200100,210200,200002,200010,202010,200000,211000,220000,220000,220100,221100,220000,220000,222000,220002,220010,221000,220100,220001,220202,220100,220020,221001,220001,220000,200200,201200,200000,200200,220110,200001,220020,220120,220000,220000,222222,220000,220100,220100,220000,220100,220002,220000,220010,220012,220000,222000,222000,222110,220002,220010
1smaan,202220,202000,210000,200001,200000,200000,200000,210001,220222,220002,220000,220000,220000,220000,220201,220200,220000,220220,222000,222000,220000,220200,220000,220201,220000,220000,200002,200000,200002,200002,220000,200020,220000,221000,220102,220201,220000,222222,222000,220201,220201,220002,222000,220001,220001,220000,220000,220210,220000,220000,220000,220000
1smuur,202000,202001,210001,200200,200000,200000,200000,210000,220000,220000,220002,220001,220020,220000,220000,220000,220020,220000,222001,222200,220001,220001,220000,220000,220000,220000,200001,200001,200000,200001,220002,200000,220000,221001,220000,220000,220001,222000,222222,220001,220000,220001,222000,220000,220000,220020,220200,220000,220000,220001,220000,220000
1srand,200200,201000,211000,200020,200001,200002,200002,210010,220210,220010,221000,221000,220000,220000,220220,220200,220002,220200,221000,220000,221000,222200,220000,220220,220000,220002,201010,201000,200010,201010,221000,200100,220000,222000,220110,220220,221000,220210,221000,222222,220222,221010,220000,220022,220022,220000,220001,220200,220002,221000,220000,220000
1swand,200200,200000,210000,200020,200001,200002,200002,210010,220210,220010,220000,220000,220000,220000,220220,220200,220002,220200,220000,220000,220000,220200,221000,220220,220000,220002,200010,200000,200010,200010,220000,200100,220000,220000,220110,220220,220000,220210,220000,220222,222222,220010,220000,220022,220022,220000,220001,220200,220002,220000,220000,222000
1skern,201000,201220,211010,201001,200100,200100,200200,210001,220002,220202,220210,220220,220000,221100,220001,222000,222000,220000,221220,220000,220110,220110,220000,220001,220100,220200,200112,200110,200102,200112,220110,200000,221000,220010,220002,221001,220010,220002,220010,220011,220001,222222,220000,220201,220001,220000,220000,220000,220200,220020,222000,221000
1smist,202002,202000,210000,200002,200000,200000,200100,210100,220000,220000,220000,220000,220000,220000,220000,220022,220000,220000,222000,222011,220002,220000,220010,220001,220001,220000,200000,200100,200000,200000,220000,200001,220000,221000,220000,220000,220002,222000,222000,220000,220000,220000,222222,220000,220000,220002,220100,220000,220000,220010,220222,220000
1seend,200000,200200,210000,200020,201001,201002,200202,210010,220010,221210,221200,220200,220000,222000,220020,220000,220002,220000,220200,220000,221000,221000,220000,220020,221100,220202,202110,202000,202110,202110,221000,200000,220000,220000,220010,220020,220000,220010,220000,220022,220022,220210,220000,222222,220022,220000,220001,220000,220202,220000,220000,220000
1sbond,200000,200000,210000,200020,202201,200202,200002,210010,222010,222010,222000,222000,221000,220000,220020,220000,220202,220000,220000,220000,220000,220000,220100,220020,220000,220002,200010,200000,200010,200010,222200,200000,222100,220200,220010,222020,220100,220010,220000,220022,220022,220010,220000,220022,222222,222200,220001,220000,220002,220200,220000,220200
1sbout,200002,200000,210000,200012,202200,200200,200000,210000,222000,222000,222000,222000,221020,220000,220000,220002,220220,220000,220000,220011,220002,220000,220100,220001,220001,220000,200000,200000,200000,200000,222200,200001,222100,220200,220000,222000,220102,220000,220020,220000,220000,220000,220002,220000,222200,222222,220010,220000,220000,220200,220002,220200
1sduif,200000,200000,210000,200200,201000,201000,201020,210010,220000,220000,220000,220000,220100,220000,220000,220000,221100,220000,220000,220200,220000,220000,220000,220000,220000,221000,200000,200020,200000,200000,220000,200000,220000,220000,220000,220000,220000,220000,220200,221000,221000,220000,220010,221000,221000,220100,222222,220000,221000,220000,220010,220000
1sgala,200201,200000,210000,200000,200010,202010,200010,211010,220201,220000,220000,221000,220010,220010,222200,220200,220000,221211,220000,220000,220000,220200,220000,221200,220000,220020,200000,201000,200010,200000,220000,200110,220010,220000,220100,220200,222000,220201,220000,220200,220200,220000,220000,220000,220000,220000,220000,222222,222020,222000,220000,220020
1sgeld,200000,200200,210000,200000,200111,202112,200212,211010,220000,220200,220200,221200,220010,220110,222000,220000,220002,221010,220200,220000,220100,220100,220000,221000,220100,220222,200100,201100,200110,200100,220100,200010,220010,220000,220000,220000,222000,220000,220000,220002,220002,220200,220000,220202,220002,220000,220001,222020,222222,222000,220000,220020
1sgors,200000,200020,200012,200000,200200,202200,200000,201002,220000,220000,220010,221020,220000,220000,222000,220001,220200,221000,220020,220002,220010,220010,220101,221000,220000,220000,200010,201010,200000,200010,220210,200000,220100,220210,220000,220000,222110,220000,220010,220010,220000,220020,220001,220000,220200,220200,220000,222000,222000,222222,220001,220200
1skist,201002,201000,211000,201002,200000,200000,200100,210100,220000,220000,220000,220000,220000,221000,220000,222022,222000,220000,221000,220011,220002,220000,220010,220001,220001,220000,200000,200100,200000,200000,220000,200001,221000,220000,220000,221000,220002,220000,220000,220000,220000,222000,220222,220000,220000,220002,220100,220000,220000,220010,222222,221000
1swolk,200001,200002,210001,200001,200210,200210,200010,210010,220000,220000,220000,220000,220010,220012,220000,220001,220201,220010,220002,220000,220000,220000,221100,220000,220000,220020,200000,200000,200010,200000,220200,200010,220112,220200,220000,220002,220100,220000,220000,220000,222000,220001,220000,220000,220200,220200,220000,220020,220020,220200,220001,222222
